dataset_type,tier,match_id,patch,duration_min,role,champion,win,kills,deaths,assists,kda,player_damage,dpm,total_gold,gpm,cs_total,cspm,teamkills,kp,aggression_index,damage_share,team_damage,rce,vision_score,vspm,wards_placed,wards_killed,vision_efficiency,team_dragons,team_barons,team_towers,gold_diff_10,xp_diff_10,cs_diff_10,lane_pressure_index
pro,PRO,LOLTMNT04_135174,15.2,29.85,UTILITY,Rakan,False,1,2,3,2.0,5337.0,178.794,6892.0,99.263,43.9989,1.474,8.0,0.5,1.3333333333333333,0.0753845,70797.04713833747,1.8012149542125464,117.0,3.9195979899497484,44.0,21.0,2.1775544388609713,,0.0,,598.0,188.0,11.0,265.6666666666667
pro,PRO,LOLTMNT04_135174,15.2,29.85,TOP,K'Sante,True,2,2,11,6.5,20387.0,682.9816,11667.0,259.2295,242.99989500000004,8.1407,24.0,0.5416666666666666,4.333333333333333,0.183677,110993.75534225842,2.634660021332449,31.0,1.0385259631490786,13.0,1.0,0.4690117252931323,,0.0,,-166.0,153.0,7.0,108.66666666666667
pro,PRO,LOLTMNT04_135174,15.2,29.85,JUNGLE,Xin Zhao,True,3,1,14,17.0,14194.0,475.5109,11745.0,261.8425,189.001245,6.3317,24.0,0.7083333333333334,8.5,0.127881,110993.8145619756,1.8160187899214224,41.0,1.3735343383584588,8.0,15.0,0.7705192629815745,,1.0,,342.0,-56.0,-5.0,134.33333333333334
pro,PRO,LOLTMNT04_135174,15.2,29.85,MIDDLE,Taliyah,True,7,1,8,15.0,31405.0,1052.0938,13671.0,326.3652,249.99972,8.3752,24.0,0.625,7.5,0.282943,110994.08714829489,3.223670293278818,42.0,1.4070351758793969,18.0,8.0,0.8710217755443885,,0.0,,-533.0,189.0,6.0,242.66666666666666
pro,PRO,LOLTMNT04_135174,15.2,29.85,BOTTOM,Jhin,True,12,1,7,19.0,38792.0,1299.5645,16132.0,408.8107,301.00143,10.0838,24.0,0.7916666666666666,9.5,0.349496,110994.1172431158,3.178890621013589,37.0,1.2395309882747068,16.0,5.0,0.7035175879396984,,0.0,,340.0,226.0,11.0,192.33333333333334
pro,PRO,LOLTMNT04_135174,15.2,29.85,UTILITY,Alistar,True,0,3,15,5.0,6216.0,208.2412,7418.0,116.8844,21.99945,0.737,24.0,0.625,3.75,0.056003,110994.05388997018,1.7815995975510845,107.0,3.584589614740368,57.0,10.0,2.2445561139028474,,0.0,,-598.0,-188.0,-11.0,265.6666666666667
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,TOP,Sion,False,1,5,6,1.4,27098.0,777.1893,12480.0,227.6386,267.99914666666666,7.6864,12.0,0.5833333333333334,1.1666666666666667,0.253651,106831.82798411991,3.4141367061649475,59.0,1.6921606118546846,12.0,18.0,0.8604206500956023,,0.0,,307.0,-557.0,-6.0,290.0
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,JUNGLE,Wukong,False,1,7,8,1.2857142857142858,13989.0,401.2141,9762.0,149.6845,152.99841999999998,4.3881,12.0,0.75,1.125,0.130944,106831.92815249266,2.6803984380480275,38.0,1.089866156787763,9.0,8.0,0.4875717017208413,,0.0,,-257.0,-161.0,-5.0,141.0
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,MIDDLE,Hwei,False,6,6,5,1.8333333333333333,23015.0,660.086,14384.0,282.2467,281.00092666666666,8.0593,12.0,0.9166666666666666,1.5714285714285714,0.215432,106831.85413494745,2.338684562122427,25.0,0.7170172084130019,13.0,4.0,0.4875717017208413,,0.0,,389.0,64.0,14.0,155.66666666666666
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,BOTTOM,Smolder,False,3,5,5,1.6,34753.0,996.74,14578.0,287.8107,338.00095333333337,9.6941,12.0,0.6666666666666666,1.3333333333333333,0.325305,106832.04992238054,3.4631790965381066,29.0,0.8317399617590822,11.0,6.0,0.4875717017208413,,0.0,,-193.0,-480.0,-11.0,228.0
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,UTILITY,Poppy,False,1,4,4,1.25,7977.0,228.7859,7715.0,90.9751,34.99916,1.0038,12.0,0.4166666666666667,1.0,0.0746686,106832.05524142679,2.5148188900039683,128.0,3.6711281070745696,71.0,14.0,2.4378585086042066,,0.0,,142.0,723.0,3.0,289.3333333333333
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,TOP,Aatrox,True,9,2,6,7.5,29741.0,852.9924,17160.0,361.8642,287.9986666666667,8.26,27.0,0.5555555555555556,5.0,0.237152,125409.02037511807,2.3572168785969985,36.0,1.0325047801147227,12.0,6.0,0.5162523900573613,,0.0,,-307.0,557.0,6.0,290.0
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,JUNGLE,Jarvan IV,True,5,5,19,4.8,20086.0,576.0803,13499.0,256.8642,209.00126,5.9943,27.0,0.8888888888888888,4.0,0.160164,125408.9558202842,2.2427426632438463,64.0,1.8355640535372848,12.0,12.0,0.6883365200764818,,1.0,,257.0,161.0,5.0,141.0
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,MIDDLE,Aurora,True,8,2,11,9.5,34413.0,986.9885,15370.0,310.5258,285.00013333333334,8.174,27.0,0.7037037037037037,6.333333333333333,0.274406,125409.06539944463,3.1784428218202803,44.0,1.2619502868068833,18.0,12.0,0.8604206500956023,,0.0,,-389.0,-64.0,-14.0,155.66666666666666
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,BOTTOM,Sivir,True,5,1,13,18.0,35733.0,1024.847,17364.0,367.7151,381.9992,10.956,27.0,0.6666666666666666,9.0,0.284932,125408.86948464897,2.7870680317452288,23.0,0.6596558317399618,13.0,4.0,0.4875717017208413,,0.0,,193.0,480.0,11.0,228.0
pro,PRO,LOLTMNT04_136189,15.2,34.86666666666667,UTILITY,Rell,True,0,2,21,10.5,5436.0,155.9082,9358.0,138.0975,38.99836666666667,1.1185,27.0,0.7777777777777778,7.0,0.0433462,125408.91704463137,1.128971922011622,165.0,4.732313575525812,81.0,22.0,2.954110898661568,,0.0,,-142.0,-723.0,-3.0,289.3333333333333
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,TOP,Rumble,True,9,3,4,4.333333333333333,36215.0,922.2835,17608.0,318.9983,297.00128666666666,7.5637,28.0,0.4642857142857143,3.25,0.240502,150580.86835036715,2.891186253970633,25.0,0.6366723259762309,9.0,3.0,0.30560271646859083,,0.0,,-59.0,-151.0,-5.0,71.66666666666667
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,JUNGLE,Naafiri,True,4,5,14,3.6,27660.0,704.4143,15598.0,267.8098,261.99898,6.6723,28.0,0.6428571428571429,3.0,0.183689,150580.60090696777,2.630278279584989,41.0,1.0441426146010186,10.0,10.0,0.5093378607809848,,2.0,,-154.0,-101.0,-11.0,88.66666666666667
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,MIDDLE,Anivia,True,7,1,12,19.0,35767.0,910.8744,19171.0,358.8031,315.00112666666666,8.0221,28.0,0.6785714285714286,9.5,0.237527,150580.776080193,2.5386469626377255,46.0,1.1714770797962648,10.0,14.0,0.6112054329371817,,0.0,,-130.0,-133.0,-6.0,89.66666666666667
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,BOTTOM,Kai'Sa,True,8,3,7,5.0,41058.0,1045.6197,19652.0,371.0526,373.00192,9.4992,28.0,0.5357142857142857,3.75,0.272664,150580.93477686823,2.817982410041056,63.0,1.6044142614601018,18.0,19.0,0.9422750424448217,,0.0,,-211.0,-702.0,-6.0,306.3333333333333
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,UTILITY,Poppy,True,0,3,15,5.0,9881.0,251.6384,10169.0,129.5501,37.998353333333334,0.9677,28.0,0.5357142857142857,3.75,0.0656192,150580.92753340484,1.942402205787568,148.0,3.769100169779287,71.0,17.0,2.2410865874363326,,0.0,,75.0,75.0,1.0,50.333333333333336
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,TOP,Ambessa,False,4,6,7,1.8333333333333333,27969.0,712.2835,15507.0,265.4924,297.99866,7.5891,15.0,0.7333333333333333,1.5714285714285714,0.212682,131506.19234349873,2.682877174638521,28.0,0.7130730050933787,13.0,2.0,0.38200339558573854,,0.0,,59.0,151.0,5.0,71.66666666666667
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,JUNGLE,Xin Zhao,False,3,7,4,1.0,25825.0,657.6825,12619.0,191.944,219.99935333333332,5.6027,15.0,0.4666666666666667,0.875,0.196379,131505.9145835349,3.426429062643271,66.0,1.6808149405772497,14.0,12.0,0.6621392190152802,,0.0,,154.0,101.0,11.0,88.66666666666667
